Date,ABBV,MET,OXY,PERI,SPY,,,,
2020-11-09,80.25233459,39.38822174,11.71226692,7.309999943,333.4387207,,,,
2020-11-10,83.4161911,40.34357071,11.85592079,7.320000172,332.949646,,,,
2020-11-11,82.80873108,39.88780594,11.39623642,7.429999828,335.4230957,,,,
2020-11-12,82.34468842,38.371521,10.83121586,7.400000095,332.1690979,,,,
2020-11-13,83.55961609,39.21292877,11.30047321,7.489999771,336.7678223,,,,
2020-11-16,82.98591614,40.34357071,12.16237068,7.420000076,340.9715576,,,,
2020-11-17,83.70302582,40.32603455,12.4400959,7.519999981,339.1377563,,,,
2020-11-18,83.2896347,40.06309891,12.32517338,7.559999943,335.0562744,,,,
2020-11-19,84.09114075,39.88780594,12.79443169,7.559999943,336.4668884,,,,
2020-11-20,85.07826233,40.20332718,12.91892624,7.570000172,334.1628723,,,,
2020-11-23,86.2088089,41.34272766,15.09283447,7.429999828,336.1659546,,,,
2020-11-24,87.71059418,42.65742493,16.06965256,7.619999886,341.5827942,,,,
2020-11-25,87.91307831,41.85984421,16.01219177,7.679999828,341.0561523,,,,
2020-11-27,88.49523163,41.5881424,15.85896969,7.650000095,342.006073,,,,
2020-11-30,88.23369598,40.46627045,15.09283447,7.590000153,340.4919739,,,,
2020-12-01,87.77810669,41.11486053,14.48950291,7.619999886,344.2160339,,,,
2020-12-02,88.57961273,41.81602097,15.21732712,7.599999905,344.9401855,,,,
2020-12-03,88.36869049,41.81602097,15.69616413,7.639999866,344.8461304,,,,
2020-12-04,90.51166534,42.48213577,17.80303383,7.730000019,347.8179321,,,,
2020-12-07,89.29675293,41.70207977,17.41996384,9.020000458,347.1031189,,,,
2020-12-08,90.85757446,41.64948654,18.32016945,11.28999996,348.1188049,,,,
2020-12-09,91.68440247,41.75467682,18.57887459,11.03999996,344.9965515,,,,
2020-12-10,90.68884277,41.67579269,20.41856003,12.43999958,344.8837585,,,,
2020-12-11,89.71859741,41.36026382,20.01612663,12.34000015,344.4793396,,,,
2020-12-14,87.91307831,40.1770401,18.36808014,12.11999989,342.9370728,,,,
2020-12-15,86.74878693,40.52762604,19.01004982,11.18000031,347.5733643,,,,
2020-12-16,88.28430176,40.59773636,18.63636971,11.72000027,348.1188049,,,,
2020-12-17,88.49523163,40.74674606,18.37766075,11.47999954,350.0654602,,,,
2020-12-18,88.12401581,40.01051331,17.7452774,12.47999954,348.6677246,,,,
2020-12-21,87.49967957,39.8439827,16.73919106,13.10999966,347.421051,,,,
2020-12-22,86.73191833,39.6248703,16.21220589,13.35999966,346.8355408,,,,
2020-12-23,87.1368866,40.43120956,17.14162064,15.06999969,347.1471863,,,,
2020-12-24,87.12001801,40.58897781,16.93082809,13.84000015,348.4977722,,,,
2020-12-28,87.28031921,40.5363884,16.67212105,13.19999981,351.4916077,,,,
2020-12-29,88.33493042,40.32603455,16.5188179,12.47999954,350.8210754,,,,
2020-12-30,88.81585693,40.66786194,17.16078568,12.68000031,351.3215637,,,,
2020-12-31,90.40200043,41.14990997,16.58588982,12.72999954,353.1066284,,,,
2021-01-04,88.93396759,40.38739014,16.72003365,12.23999977,348.2994385,,,,
2021-01-05,89.85359192,40.88698196,18.4064064,12.43000031,350.6982117,,,,
2021-01-06,89.07737732,43.32353973,19.16335869,13.18999958,352.7949219,,,,
2021-01-07,90.03074646,43.45501328,19.70951271,15.13000011,358.0365906,,,,
2021-01-08,90.5032196,43.3060112,19.24001312,14.14000034,360.0765686,,,,
2021-01-11,91.97969055,43.29724884,19.24001312,14.10000038,357.6493835,,,,
2021-01-12,92.62091827,43.99842072,21.67375755,14.09000015,357.7249146,,,,
2021-01-13,94.8735733,44.11235809,21.39588928,14.39999962,358.6882629,,,,
2021-01-14,95.28326416,45.19916916,23.2259922,13.56999969,357.4320679,,,,
2021-01-15,94.33583069,44.8222847,21.45338249,12.98999977,354.8255005,,,,
2021-01-19,95.75275421,45.68122101,22.10493279,13.96000004,357.6115417,,,,
2021-01-20,96.12831879,45.26928329,22.057024,13.89999962,362.5603943,,,,
2021-01-21,94.967453,44.76094055,20.6389389,13.26000023,362.8909912,,,,
2021-01-22,94.62604523,44.57688141,20.59102631,13.89999962,361.6065063,,,,
2021-01-25,94.3187561,44.3577652,20.61018944,13.77999973,363.0326233,,,,
2021-01-26,92.8677063,43.91953659,19.52745819,15.56000042,362.4659729,,,,
2021-01-27,87.73778534,42.42954636,19.71909714,14.27000046,353.6070862,,,,
2021-01-28,88.94983673,43.44624329,20.07361603,15.02000046,356.6481934,,,,
2021-01-29,87.47319794,42.20167542,19.2208519,14.52000046,349.5082397,,,,
2021-02-01,87.3195343,42.48213577,19.53704262,15.06999969,355.3260803,,,,
2021-02-02,88.31820679,42.88530731,19.86281967,15.22999954,360.3504028,,,,
2021-02-03,91.28859711,43.27094269,21.09885979,15.55000019,360.6337585,,,,
2021-02-04,92.63723755,45.91622162,21.36714363,16.73999977,364.7326355,,,,
2021-02-05,92.80794525,46.51781845,21.61627197,20.43000031,366.1681824,,,,
2021-02-08,91.19470978,47.93334579,24.38537407,21.35000038,368.8126526,,,,
2021-02-09,89.9655838,48.14568329,23.61883736,24.25,368.5670471,,,,
2021-02-10,88.81327057,48.62342453,24.52910042,24,368.4064941,,,,
2021-02-11,88.5572052,48.93306732,23.93503571,23.26000023,369.0014954,,,,
2021-02-12,89.14616394,49.25156021,24.32788277,22.95000076,370.8243408,,,,
2021-02-16,88.94130707,49.55236053,25.35312271,23.19000053,370.5031433,,,,
2021-02-17,90.72525787,49.02153397,25.61182594,22.61000061,370.5881042,,,,
2021-02-18,90.52892303,48.64995956,24.22248459,21.88999939,369.0109558,,,,
2021-02-19,89.63269043,49.60544205,24.35662842,22.62999916,368.3592834,,,,
2021-02-22,91.38249207,50.81748199,25.36270523,21.70000076,365.5259094,,,,
2021-02-23,90.70819092,50.80864334,24.96985626,21.29000092,365.9698486,,,,
2021-02-24,92.77381134,52.69306946,26.98200607,21.72999954,370.002594,,,,
2021-02-25,91.61296082,51.54294205,25.63099098,19.84000015,361.0870972,,,,
2021-02-26,91.96291351,50.95904541,25.49685097,19.85000038,359.2265015,,,,
2021-03-01,92.5348053,52.58690262,26.48376083,21.59000015,367.9342957,,,,
2021-03-02,92.0568161,52.16224289,26.65622902,25.69000053,365.0631409,,,,
2021-03-03,91.08374023,52.58690262,27.461092,22.76000023,360.2276611,,,,
2021-03-04,90.17897034,51.87028122,28.64922142,20.48999977,355.769928,,,,
2021-03-05,91.07522583,52.82577133,29.92358017,18.79999924,362.3149109,,,,
2021-03-08,90.57161713,53.40968323,28.52466202,17.10000038,360.5109863,,,,
2021-03-09,91.15203857,52.77269363,27.46073914,18.5,365.6582031,,,,
2021-03-10,92.18484497,53.50699615,28.14126587,18.79000092,367.9342957,,,,
2021-03-11,92.07389832,53.09117889,29.69401741,19.71999931,371.6647644,,,,
2021-03-12,92.37262726,54.04666519,29.3585453,20.48999977,372.1653442,,,,
2021-03-15,94.1138916,53.56008148,28.08375549,20.26000023,374.3847961,,,,
2021-03-16,94.60896301,52.4718895,27.00066185,19.37999916,373.9125977,,,,
2021-03-17,89.65831757,53.21504211,27.83455086,20.53000069,375.1875916,,,,
2021-03-18,88.57426453,54.63941574,25.5150032,18.87000084,369.7287598,,,,
2021-03-19,88.27553558,54.22360611,26.93356705,19.17000008,369.0446167,,,,
2021-03-22,90.39237213,53.17964935,26.3201313,19.36000061,371.9914246,,,,
2021-03-23,89.48760223,51.89683151,25.48624611,18.45000076,369.0635986,,,,
2021-03-24,87.96824646,51.79066467,25.93673706,17.37999916,367.1873779,,,,
2021-03-25,88.66815948,53.11772537,25.59167862,17.65999985,369.2530823,,,,
2021-03-26,90.46066284,53.80780029,26.60768127,17,375.2035217,,,,
2021-03-29,91.10082245,53.22389221,25.87922668,16.40999985,375.0140381,,,,
2021-03-30,91.15203857,54.35630798,26.19553185,17.26000023,374.0191345,,,,
2021-03-31,92.37262726,53.78125763,25.5150032,17.89999962,375.5351563,,,,
2021-04-01,92.62870789,54.4978714,26.24345589,18.38999939,379.5905762,,,,
2021-04-05,90.59721375,54.48017502,24.25938034,18.45999908,385.0389099,,,,
2021-04-06,89.94850922,54.19705582,24.29771996,18.70999908,384.811554,,,,
2021-04-07,89.80341339,54.65711594,24.24979591,18,385.256897,,,,
2021-04-08,90.5630722,54.24129868,23.70345497,18.20000076,387.0856018,,,,
2021-04-09,91.79222107,54.7809639,23.56926537,17.72999954,389.8997803,,,,
2021-04-12,92.39823151,55.43565369,23.22420502,17.64999962,390.0419617,,,,
2021-04-13,92.37262726,54.89598846,23.28172112,17.77000046,391.1978455,,,,
2021-04-14,91.49141693,55.4975853,24.48941422,16.94000053,389.8618469,,,,
2021-04-15,92.34672546,55.11715317,23.82806015,16.68000031,394.0499573,,,,
2021-04-16,93.22793579,55.79838181,23.36798096,15.84000015,395.3670654,,,,
2021-04-19,93.83270264,55.82491684,23.52134132,15.61999989,393.4245605,,,,
2021-04-20,94.19554138,54.10860062,22.2369709,15.09000015,390.5441284,,,,
2021-04-21,95.72473145,55.4268074,23.43507957,15.67000008,394.2394104,,,,
2021-04-22,95.07675934,54.76327515,23.09960556,15.84000015,390.6388245,,,,
2021-04-23,96.22579956,55.55066681,23.62677383,16.29999924,394.8742676,,,,
2021-04-26,96.23444366,55.55066681,23.86639786,16.40999985,395.6986389,,,,
2021-04-27,96.27764893,56.05494308,24.0485096,16.20000076,395.6134033,,,,
2021-04-28,96.70098877,56.3822937,25.0165863,16.55999947,395.4996338,,,,
2021-04-29,95.80247498,57.0015831,24.86322594,17.85000038,398.02005,,,,
2021-04-30,96.3294754,56.29381943,24.30730438,17.88999939,395.4049377,,,,
2021-05-03,99.07682037,56.81579208,25.05492592,17.62000084,396.2576904,,,,
2021-05-04,98.4029541,56.89541626,24.78654861,16.72999954,393.8130493,,,,
2021-05-05,100.0271454,57.86860275,25.92715263,16.64999962,393.9362183,,,,
2021-05-06,100.2863464,59.23104095,25.54375458,16.04000092,397.0820923,,,,
2021-05-07,100.0012283,59.41683197,26.25303841,17.15999985,399.9720459,,,,
