Date / Ticker,AAPL.MX,LLY.MX,MSFT.MX
06/10/2021,2907.74,4752.38,6011.32
07/10/2021,2956.01,4741.40,6081.61
08/10/2021,2958.02,4861.18,6104.57
11/10/2021,2981.98,4886.14,6150.34
12/10/2021,2934.39,4843.21,6080.25
13/10/2021,2895.25,4894.12,6087.62
14/10/2021,2949.10,4824.25,6211.81
15/10/2021,2940.42,4824.25,6172.69
18/10/2021,2986.59,4900.46,6249.66
19/10/2021,3006.11,4900.46,6222.27
20/10/2021,3005.14,4927.42,6183.01
21/10/2021,3029.94,4872.68,6285.56
22/10/2021,3002.60,4872.68,6245.23
25/10/2021,2993.96,4954.01,6209.73
26/10/2021,3019.84,4993.94,6254.82
27/10/2021,3026.94,5058.57,6569.17
28/10/2021,3104.48,5115.72,6593.38
29/10/2021,3080.48,5231.51,6789.90
01/11/2021,3096.29,5231.52,6832.35
03/11/2021,3123.85,5231.52,6879.68
04/11/2021,3102.79,5231.52,6899.68
05/11/2021,3070.97,5358.28,6833.31
08/11/2021,3057.33,5358.28,6838.18
09/11/2021,3061.17,5277.43,6821.67
10/11/2021,3052.08,5445.12,6818.32
11/11/2021,3057.02,5445.12,6866.18
12/11/2021,3071.60,5445.97,6906.69
16/11/2021,3128.04,5346.14,7031.40
17/11/2021,3175.39,5346.14,7006.14
18/11/2021,3287.47,5351.13,7086.70
19/11/2021,3343.69,5447.97,7144.21
22/11/2021,3395.93,5447.97,7189.39
23/11/2021,3414.72,5551.57,7150.90
24/11/2021,3461.43,5551.57,7222.81
25/11/2021,3486.78,5551.57,7269.27
26/11/2021,3442.16,5551.57,7239.12
29/11/2021,3470.63,5507.47,7293.02
30/11/2021,3531.61,5401.04,7109.50
01/12/2021,3551.18,5377.09,7100.06
02/12/2021,3479.94,5251.29,7000.05
03/12/2021,3424.36,5251.29,6847.65
06/12/2021,3511.21,5251.29,6925.95
07/12/2021,3577.47,5291.23,6999.71
08/12/2021,3660.03,5131.48,6982.84
09/12/2021,3662.84,5131.49,6979.64
10/12/2021,3730.16,5100.54,7120.84
13/12/2021,3707.94,5103.58,7137.19
14/12/2021,3707.83,5280.25,6962.30
15/12/2021,3759.18,5735.64,7012.71
16/12/2021,3589.72,5795.39,6767.76
17/12/2021,3559.06,5547.63,6700.84
20/12/2021,3517.65,5547.63,6630.50
21/12/2021,3588.52,5483.91,6781.69
22/12/2021,3624.61,5507.87,6870.43
23/12/2021,3641.91,5619.68,6913.20
24/12/2021,3662.90,5619.68,6997.85
27/12/2021,3725.57,5619.68,7058.88
28/12/2021,3700.02,5693.56,7035.57
29/12/2021,3693.87,5693.56,7038.21
30/12/2021,3656.93,5683.58,6961.52
31/12/2021,3640.91,5678.58,6888.35
03/01/2022,3716.25,5515.86,6825.27
04/01/2022,3697.85,5613.31,6741.21
05/01/2022,3600.79,5378.08,6525.68
06/01/2022,3527.74,5311.20,6448.12
07/01/2022,3510.31,5311.20,6400.01
10/01/2022,3491.25,5291.18,6369.09
11/01/2022,3565.00,5291.18,6411.73
12/01/2022,3565.22,5140.48,6468.91
13/01/2022,3507.75,5140.48,6206.29
14/01/2022,3509.06,4949.79,6302.24
17/01/2022,3503.76,4949.79,6498.78
18/01/2022,3466.24,5054.62,6164.92
19/01/2022,3410.03,5110.20,6216.82
